State,Sentiment_score
Alabama,14.9
Arizona,9.8
California,5
Colorado,15.2
Connecticut,7.8
Delaware,16.4
Florida,12.3
Georgia,12
Hawaii,6.2
Illinois,9
Kansas,10
Maryland,11.9
Massachusetts,5.8
Michigan,9.4
Minnesota,9.1
Nevada,9.3
New Jersey,9.4
New York,11.4
North Carolina,5.2
Pennsylvania,4.6
South Carolina,3.1
Virginia,13.3
Washington,9.1
Alaska,0.5
Arkansas,0.5
American Samoa,0.5
District of Columbia,0.5
Guam,0.5
Iowa,0.5
Idaho,0.5
Indiana,0.5
Kentucky,0.5
Louisiana,0.5
Maine,0.5
Missouri,0.5
Northern Mariana Islands,0.5
Mississippi,0.5
Montana,0.5
National,0.5
North Dakota,0.5
Nebraska,0.5
New Hampshire,0.5
New Mexico,0.5
Ohio,0.5
Oklahoma,0.5
Oregon,0.5
Puerto Rico,0.5
Rhode Island,0.5
South Dakota,0.5
Tennessee,0.5
Texas,0.5
Utah,0.5
Virgin Islands,0.5
Vermont,0.5
Wisconsin,0.5
West Virginia,0.5
Wyoming,0.5
