State_ebay,State_amaz,,ebay,amaz,lat,long
Minnesota,New Jersey,1,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,California,2,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,Minnesota,2,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Michigan,Hawaii,3,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Maryland,3,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Virginia,3,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Connecticut,4,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Hawaii,4,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Nevada,Illinois,5,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,New Jersey,5,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Washington,Minnesota,6,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
South Carolina,California,9,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Colorado,9,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Connecticut,10,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Nevada,11,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Arizona,12,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,New Jersey,12,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,New York,12,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Colorado,13,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Arizona,15,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Colorado,15,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Maryland,15,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,New Jersey,15,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,New Jersey,15,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,New York,16,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Kansas,New York,18,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Georgia,22,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Alabama,25,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Virginia,25,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Massachusetts,26,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Arizona,28,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,New York,28,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Alabama,29,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Arizona,30,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,South Carolina,30,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Colorado,31,"n	e	g	a	t	i	v	e","n	e	g	a	t	i	v	e",,
Florida,Florida,31,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,New Jersey,31,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,New York,31,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Pennsylvania,31,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,California,34,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,Illinois,34,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Minnesota,36,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,New Jersey,36,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,California,37,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Nevada,37,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Georgia,39,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Arizona,40,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,California,40,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Delaware,41,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Nevada,42,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,Hawaii,44,"n	e	g	a	t	i	v	e","n	e	g	a	t	i	v	e",,
Maryland,Illinois,44,"n	e	g	a	t	i	v	e","n	e	g	a	t	i	v	e",,
Nevada,California,45,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,Colorado,46,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Delaware,46,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Pennsylvania,46,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Washington,46,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Minnesota,47,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,New York,47,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Illinois,48,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,Alabama,49,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
California,California,51,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Nevada,51,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Arizona,53,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
New York,Massachusetts,53,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Washington,53,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Maryland,55,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Colorado,57,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Maryland,57,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Virginia,57,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,Nevada,58,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,California,61,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
North Carolina,Minnesota,61,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Nevada,61,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Virginia,62,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Connecticut,64,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,North Carolina,65,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Connecticut,66,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Florida,66,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,New York,66,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,New Jersey,67,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Michigan,Minnesota,68,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,South Carolina,69,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Alabama,70,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Arizona,71,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Florida,Connecticut,71,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Maryland,71,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Alabama,Alabama,75,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Michigan,75,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Minnesota,75,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
California,Massachusetts,76,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Georgia,80,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Maryland,80,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,New York,80,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,New York,81,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Maryland,New Jersey,82,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Minnesota,84,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Pennsylvania,85,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Virginia,87,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
California,Washington,87,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Massachusetts,New York,88,"n	e	g	a	t	i	v	e","n	e	g	a	t	i	v	e",,
Virginia,Washington,88,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
New York,Colorado,91,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Virginia,92,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Florida,97,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,New Jersey,97,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,New York,97,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Massachusetts,99,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Massachusetts,99,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Florida,100,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Pennsylvania,102,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Maryland,105,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Georgia,106,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,California,109,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Colorado,110,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Pennsylvania,110,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Georgia,111,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,Illinois,117,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Nevada,117,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Hawaii,118,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Alabama,119,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Massachusetts,119,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Connecticut,121,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Arizona,122,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Delaware,124,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Alabama,126,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Michigan,Florida,126,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
South Carolina,Pennsylvania,127,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,South Carolina,128,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Virginia,128,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Massachusetts,129,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Georgia,130,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,Michigan,131,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,New Jersey,131,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Minnesota,132,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Arizona,135,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,New Jersey,136,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Michigan,Alabama,137,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Minnesota,137,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,New Jersey,137,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,New Jersey,140,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Florida,142,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
New Jersey,New Jersey,143,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Delaware,145,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Maryland,147,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Illinois,148,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Virginia,148,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Massachusetts,149,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Michigan,New York,149,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Georgia,152,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Connecticut,153,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Maryland,153,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,Maryland,153,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Georgia,154,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Michigan,California,155,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Alabama,New York,155,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Arizona,156,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Georgia,156,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Colorado,158,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Maryland,159,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Florida,Illinois,160,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,California,161,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Colorado,161,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,California,163,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Colorado,Colorado,164,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Michigan,164,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Florida,Florida,165,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Hawaii,165,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Massachusetts,Washington,165,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,New Jersey,166,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Colorado,167,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,New Jersey,168,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Washington,168,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Arizona,170,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,New Jersey,170,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Illinois,171,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Nevada,171,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Pennsylvania,California,172,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Maryland,173,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Arizona,175,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,Colorado,177,"n	e	g	a	t	i	v	e","n	e	g	a	t	i	v	e",,
Washington,Pennsylvania,178,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,South Carolina,178,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Arizona,New Jersey,180,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Pennsylvania,180,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,California,182,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Georgia,Hawaii,182,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Michigan,California,183,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Hawaii,185,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Pennsylvania,185,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Alabama,186,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Michigan,Massachusetts,186,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Virginia,187,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Maryland,189,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,New York,192,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Virginia,193,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Hawaii,194,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Nevada,Illinois,194,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Delaware,196,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Connecticut,Washington,197,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Alabama,199,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,Maryland,200,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,Delaware,204,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Washington,Connecticut,206,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Florida,206,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Alabama,207,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Hawaii,209,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Colorado,210,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Alabama,Minnesota,211,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Pennsylvania,211,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Nevada,212,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Connecticut,213,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
California,California,214,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,South Carolina,219,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Georgia,220,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Colorado,222,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,Colorado,223,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Hawaii,223,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,New York,223,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,California,224,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,California,224,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Colorado,227,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Washington,227,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,New York,229,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Pennsylvania,229,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
California,Illinois,233,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Pennsylvania,235,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Colorado,236,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Illinois,238,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,Connecticut,239,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Washington,239,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,New York,240,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Arizona,241,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,California,241,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Georgia,242,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Kansas,242,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Michigan,New York,242,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,Delaware,243,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Colorado,244,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Arizona,245,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Massachusetts,245,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Alabama,246,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Arizona,California,246,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,Maryland,246,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Florida,249,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Michigan,New Jersey,249,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Pennsylvania,249,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Florida,250,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Washington,250,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Pennsylvania,251,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
